                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.82628,                 1.0869,                 1.1173,                0.39607,                0.63983,                0.51494,                0.32529,                 1.2842,                 1.6112,                  1.696,             0.00069281,             0.00069281,             0.00069281
                     87,                0.80951,                 1.0917,                 1.1397,                0.41699,                0.70701,                0.52566,                0.31928,                 1.2838,                 1.6453,                 1.7768,             0.00069116,             0.00069116,             0.00069116
                     88,                0.82155,                 1.0474,                 1.1282,                0.44371,                0.66677,                0.47801,                0.28705,                 1.3576,                 1.8196,                  1.824,             0.00068951,             0.00068951,             0.00068951
                     89,                0.79868,                 1.1221,                 1.1435,                0.45228,                0.64264,                0.50465,                0.31415,                 1.3586,                 1.6396,                 1.7812,             0.00068786,             0.00068786,             0.00068786
                     90,                0.82216,                 1.0749,                 1.1097,                0.37452,                0.69061,                0.48803,                0.28003,                 1.3775,                 1.6712,                 1.8642,             0.00068621,             0.00068621,             0.00068621
                     91,                0.82757,                 1.0392,                 1.1414,                0.38851,                0.69133,                0.48472,                 0.2945,                 1.3317,                 1.6574,                 1.7516,             0.00068456,             0.00068456,             0.00068456
                     92,                0.82709,                 1.0364,                  1.134,                0.39947,                0.71673,                0.54575,                0.32796,                  1.413,                 1.5266,                  1.753,             0.00068291,             0.00068291,             0.00068291
                     93,                0.84193,                 1.0955,                 1.1644,                0.39336,                 0.7338,                0.52929,                0.34271,                 1.2621,                  1.543,                 1.6348,             0.00068126,             0.00068126,             0.00068126
                     94,                0.80726,                 1.0618,                 1.1318,                0.43727,                0.62559,                0.51936,                0.33792,                 1.2566,                 1.7445,                 1.6506,             0.00067961,             0.00067961,             0.00067961
                     95,                0.80059,                 1.0323,                 1.1254,                 0.3593,                0.72083,                0.47445,                0.31397,                 1.2634,                 1.8194,                 1.6824,             0.00067796,             0.00067796,             0.00067796
                     96,                0.83917,                  1.086,                 1.1573,                0.37918,                0.65562,                0.49637,                 0.3192,                 1.3362,                 1.7641,                 1.7145,             0.00067631,             0.00067631,             0.00067631
                     97,                0.81031,                 1.0454,                 1.1244,                0.46028,                0.67924,                0.52813,                0.33016,                 1.3408,                 1.5822,                 1.7564,             0.00067466,             0.00067466,             0.00067466
                     98,                0.80171,                  1.089,                 1.1493,                0.46096,                0.73933,                 0.5473,                0.34712,                 1.2611,                 1.4609,                 1.6745,             0.00067301,             0.00067301,             0.00067301
                     99,                0.78489,                 1.0317,                 1.1167,                0.39329,                0.65838,                0.52195,                0.31394,                 1.4066,                 1.5304,                 1.7685,             0.00067136,             0.00067136,             0.00067136
                    100,                0.81369,                 1.0622,                 1.1505,                0.50383,                0.58784,                0.55434,                0.32942,                 1.4176,                 1.4724,                 1.8203,             0.00066972,             0.00066972,             0.00066972
                    101,                0.83481,                 1.0548,                 1.1462,                0.42528,                0.59909,                0.53537,                0.32451,                 1.3856,                 1.5593,                 1.7866,             0.00066807,             0.00066807,             0.00066807
                    102,                0.81597,                 1.0167,                 1.1242,                0.38527,                0.62448,                0.48375,                0.29776,                 1.3155,                  1.763,                 1.7594,             0.00066642,             0.00066642,             0.00066642
                    103,                0.84081,                 1.0296,                 1.1332,                0.37436,                0.63129,                0.49704,                0.29256,                 1.4161,                 1.7602,                 1.8269,             0.00066477,             0.00066477,             0.00066477
                    104,                0.79349,                 1.0124,                 1.1366,                0.43603,                0.64519,                0.49477,                0.29993,                 1.3116,                 1.5953,                 1.7654,             0.00066312,             0.00066312,             0.00066312
                    105,                0.78185,                 1.0133,                  1.133,                0.43773,                0.69782,                0.52848,                0.31725,                 1.3758,                 1.5766,                 1.7974,             0.00066147,             0.00066147,             0.00066147
                    106,                0.83045,                 1.0512,                 1.1395,                0.35679,                0.71631,                 0.4444,                0.27688,                 1.3432,                 1.8202,                 1.7667,             0.00065982,             0.00065982,             0.00065982
                    107,                0.79238,                0.98881,                 1.1276,                0.37368,                0.62969,                0.47044,                 0.2802,                 1.3094,                 1.6542,                 1.8166,             0.00065817,             0.00065817,             0.00065817
                    108,                0.80901,                0.99594,                 1.1372,                0.41827,                0.58791,                0.48507,                0.29225,                 1.3515,                 1.7389,                 1.7664,             0.00065652,             0.00065652,             0.00065652
                    109,                 0.7659,                 0.9711,                 1.0969,                0.43073,                0.58824,                0.50576,                 0.2917,                  1.426,                 1.6538,                 1.8536,             0.00065487,             0.00065487,             0.00065487
                    110,                0.82575,                 1.0295,                 1.1059,                0.51981,                0.61381,                0.56466,                 0.3289,                  1.329,                 1.4822,                 1.7748,             0.00065322,             0.00065322,             0.00065322
                    111,                 0.7761,                 0.9727,                 1.1101,                0.55481,                0.55237,                0.53516,                0.32394,                 1.3158,                 1.6281,                 1.7431,             0.00065157,             0.00065157,             0.00065157
                    112,                0.77244,                0.95751,                 1.1217,                0.42453,                0.69217,                0.53125,                0.31233,                 1.2882,                  1.568,                 1.7932,             0.00064992,             0.00064992,             0.00064992
                    113,                0.77544,                 1.0012,                 1.1299,                 0.4169,                0.67916,                0.50106,                0.30411,                 1.2667,                 1.6417,                 1.7029,             0.00064827,             0.00064827,             0.00064827
                    114,                0.77597,                 0.9657,                 1.1234,                0.48068,                0.64653,                0.55684,                0.35081,                 1.3521,                 1.4887,                 1.7041,             0.00064662,             0.00064662,             0.00064662
                    115,                 0.7877,                 1.0191,                 1.1229,                 0.3574,                0.65326,                0.46868,                0.28999,                 1.3744,                  1.853,                 1.7509,             0.00064498,             0.00064498,             0.00064498
                    116,                0.78721,                 1.0157,                 1.1401,                0.43665,                 0.6453,                0.52038,                0.32776,                 1.3496,                 1.6136,                 1.7139,             0.00064333,             0.00064333,             0.00064333
                    117,                0.76839,                0.98229,                 1.1092,                0.41144,                0.65477,                0.51609,                0.31205,                 1.3573,                 1.6016,                 1.7843,             0.00064168,             0.00064168,             0.00064168
                    118,                0.75769,                0.94529,                 1.0824,                0.47373,                0.58876,                0.52156,                0.29663,                 1.4939,                 1.5316,                 1.9171,             0.00064003,             0.00064003,             0.00064003
                    119,                0.74725,                0.97734,                 1.1131,                0.44784,                0.65734,                0.53431,                 0.3013,                 1.4778,                 1.5699,                 1.9302,             0.00063838,             0.00063838,             0.00063838
                    120,                0.76003,                 1.0004,                 1.0857,                0.47196,                0.59333,                0.56018,                 0.3441,                 1.2939,                 1.5544,                 1.7437,             0.00063673,             0.00063673,             0.00063673
                    121,                0.78049,                 1.0108,                 1.1349,                0.44236,                0.73091,                0.56191,                0.34018,                 1.3297,                 1.4999,                 1.7328,             0.00063508,             0.00063508,             0.00063508
                    122,                0.80331,                0.99856,                 1.1055,                0.50207,                0.60066,                0.56959,                0.31463,                  1.425,                 1.5058,                 1.8803,             0.00063343,             0.00063343,             0.00063343
                    123,                0.79067,                0.97158,                 1.1263,                0.50166,                0.58856,                0.56311,                0.34171,                  1.433,                 1.5258,                 1.7852,             0.00063178,             0.00063178,             0.00063178
                    124,                0.81004,                 0.9765,                 1.1341,                 0.4583,                0.58794,                0.56408,                 0.3383,                 1.3657,                 1.6088,                 1.7736,             0.00063013,             0.00063013,             0.00063013
                    125,                0.78795,                0.95611,                 1.1059,                0.44553,                0.60052,                0.55269,                0.33838,                 1.4346,                 1.5258,                  1.819,             0.00062848,             0.00062848,             0.00062848
                    126,                0.76278,                0.90871,                 1.0823,                0.45134,                0.64341,                 0.5382,                0.32038,                 1.3569,                 1.4936,                  1.788,             0.00062683,             0.00062683,             0.00062683
                    127,                0.75305,                0.92801,                 1.1117,                0.45639,                0.64137,                0.55498,                0.34381,                 1.3184,                 1.5071,                 1.7224,             0.00062518,             0.00062518,             0.00062518
                    128,                0.75259,                0.91648,                   1.11,                0.47947,                0.69063,                0.59303,                0.36308,                 1.2706,                 1.3693,                 1.7195,             0.00062353,             0.00062353,             0.00062353
                    129,                0.75309,                0.91065,                  1.105,                0.43118,                0.65175,                0.54155,                0.33852,                 1.3225,                 1.6137,                 1.7411,             0.00062188,             0.00062188,             0.00062188
                    130,                0.76347,                0.90028,                 1.0759,                0.45546,                0.64361,                0.52231,                 0.3061,                 1.3282,                 1.6409,                 1.8175,             0.00062024,             0.00062024,             0.00062024
                    131,                0.75812,                0.87142,                 1.0668,                0.43717,                0.64333,                0.51147,                0.31695,                 1.3109,                 1.6136,                 1.7213,             0.00061859,             0.00061859,             0.00061859
                    132,                0.76964,                0.92919,                  1.124,                0.45895,                0.64796,                0.55696,                0.33439,                 1.3845,                 1.6174,                 1.8043,             0.00061694,             0.00061694,             0.00061694
                    133,                0.76669,                0.87321,                 1.0984,                0.50045,                0.64164,                0.58584,                0.36126,                  1.316,                 1.4407,                 1.7354,             0.00061529,             0.00061529,             0.00061529
                    134,                 0.7596,                0.86904,                 1.0878,                0.43451,                0.59754,                0.53492,                0.31928,                 1.3719,                 1.6212,                 1.8085,             0.00061364,             0.00061364,             0.00061364
                    135,                0.76187,                 0.9116,                 1.0872,                0.44229,                0.61763,                 0.5545,                0.32805,                 1.4726,                  1.545,                 1.9083,             0.00061199,             0.00061199,             0.00061199
                    136,                0.75186,                0.91194,                 1.0924,                0.46803,                0.65085,                0.55016,                0.31206,                 1.3303,                 1.5395,                 1.8414,             0.00061034,             0.00061034,             0.00061034
                    137,                0.76301,                0.88629,                 1.0996,                0.42432,                0.68286,                0.53053,                 0.3366,                 1.2224,                 1.5774,                 1.6548,             0.00060869,             0.00060869,             0.00060869
                    138,                0.75163,                0.90511,                 1.0869,                0.51249,                0.67844,                0.58968,                0.34944,                 1.3034,                 1.4142,                 1.8055,             0.00060704,             0.00060704,             0.00060704
                    139,                0.77301,                0.89181,                 1.1087,                0.51082,                0.60858,                0.58604,                0.34111,                 1.3902,                 1.4627,                 1.8782,             0.00060539,             0.00060539,             0.00060539
                    140,                0.84487,                0.91586,                 1.1029,                0.43034,                0.64385,                0.56922,                0.33428,                 1.3557,                 1.5707,                 1.8253,             0.00060374,             0.00060374,             0.00060374
                    141,                0.80158,                0.93138,                 1.1425,                0.43883,                0.67955,                0.55797,                0.33302,                 1.4052,                 1.4334,                 1.8218,             0.00060209,             0.00060209,             0.00060209
                    142,                0.76419,                 0.9259,                 1.1097,                0.46647,                0.69239,                0.56939,                0.35683,                 1.3404,                 1.4534,                 1.7372,             0.00060044,             0.00060044,             0.00060044
                    143,                0.72524,                0.84155,                 1.0581,                0.54011,                0.62736,                0.62121,                0.37167,                 1.3339,                 1.4351,                 1.8202,             0.00059879,             0.00059879,             0.00059879
                    144,                0.74475,                  0.842,                 1.0928,                0.61212,                0.51916,                0.61946,                0.38884,                 1.3046,                 1.3902,                 1.7498,             0.00059714,             0.00059714,             0.00059714
