                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.76392,                 1.4151,                 1.3922,                0.49215,                0.80881,                0.72935,                0.64046,                0.54126,                 1.2251,                 1.3313,              0.0007159,              0.0007159,              0.0007159
                     73,                0.77215,                 1.3786,                 1.4112,                  0.591,                0.76388,                0.75009,                0.67503,                0.48588,                 1.1031,                 1.2806,             0.00071425,             0.00071425,             0.00071425
                     74,                0.75529,                 1.3076,                 1.4109,                0.33442,                0.89231,                0.67191,                0.57513,                0.53567,                 1.2247,                 1.3311,              0.0007126,              0.0007126,              0.0007126
                     75,                0.74133,                 1.3739,                  1.375,                0.38993,                0.85352,                0.68534,                 0.5992,                0.53972,                 1.2034,                 1.3257,             0.00071095,             0.00071095,             0.00071095
                     76,                0.77015,                 1.3787,                 1.4034,                0.39174,                0.91205,                0.75529,                0.63871,                0.56497,                 1.1883,                 1.3552,              0.0007093,              0.0007093,              0.0007093
                     77,                0.79925,                 1.3672,                 1.4324,                0.46601,                0.90233,                0.78425,                0.67473,                0.60923,                 1.2008,                 1.4247,             0.00070765,             0.00070765,             0.00070765
                     78,                0.77737,                 1.3219,                 1.4124,                0.37226,                0.81779,                 0.5169,                0.46549,                0.50397,                   1.37,                  1.337,               0.000706,               0.000706,               0.000706
                     79,                0.77342,                 1.2777,                 1.4049,                0.35574,                0.72673,                0.56776,                0.50305,                0.55377,                 1.4393,                 1.3698,             0.00070435,             0.00070435,             0.00070435
                     80,                0.77289,                 1.3377,                 1.4041,                 0.3281,                0.87166,                0.64544,                0.56904,                0.53102,                 1.2813,                 1.3352,              0.0007027,              0.0007027,              0.0007027
                     81,                0.75211,                 1.3022,                 1.3673,                0.47858,                 0.8819,                0.71507,                0.61829,                0.53043,                 1.1623,                 1.3289,             0.00070105,             0.00070105,             0.00070105
                     82,                0.77282,                 1.3043,                 1.3798,                0.47929,                0.98016,                0.86065,                 0.7483,                0.51665,                0.97636,                 1.3296,              0.0006994,              0.0006994,              0.0006994
                     83,                0.75755,                 1.3048,                 1.3872,                0.43857,                0.93871,                0.76276,                0.67986,                0.52945,                 1.1194,                 1.3525,             0.00069775,             0.00069775,             0.00069775
                     84,                0.77562,                 1.3361,                 1.3883,                 0.3806,                0.88506,                0.62486,                0.56345,                0.44506,                 1.1968,                 1.2265,              0.0006961,              0.0006961,              0.0006961
                     85,                0.73775,                  1.288,                  1.346,                0.47105,                0.93698,                0.76093,                0.68149,                 0.4677,                 1.0519,                  1.238,             0.00069446,             0.00069446,             0.00069446
                     86,                0.77047,                 1.2943,                 1.4002,                0.54651,                0.84922,                0.77223,                0.67511,                0.48219,                0.94699,                 1.2685,             0.00069281,             0.00069281,             0.00069281
                     87,                0.76657,                 1.2854,                  1.391,                 0.5138,                0.84428,                0.80114,                0.71088,                0.49954,                 1.0198,                 1.2891,             0.00069116,             0.00069116,             0.00069116
                     88,                0.74009,                 1.2563,                  1.349,                 0.4186,                0.92078,                0.70317,                0.62971,                0.52582,                  1.139,                 1.3152,             0.00068951,             0.00068951,             0.00068951
                     89,                0.72596,                  1.237,                  1.336,                 0.5306,                0.85255,                 0.7218,                 0.6426,                0.51616,                 1.1856,                 1.3092,             0.00068786,             0.00068786,             0.00068786
