                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.90015,                 1.2683,                 1.2497,                0.38682,                 0.6036,                0.46982,                0.26331,                  1.455,                 1.8173,                 1.9571,             0.00076208,             0.00076208,             0.00076208
                     45,                0.89598,                 1.2521,                   1.23,                0.28816,                0.59914,                0.39458,                0.22946,                 1.3962,                 2.0424,                 1.8664,             0.00076043,             0.00076043,             0.00076043
                     46,                  0.894,                 1.1786,                 1.2315,                0.40117,                0.50229,                0.44949,                0.25604,                 1.3087,                  1.809,                 1.8766,             0.00075878,             0.00075878,             0.00075878
                     47,                0.90783,                 1.2907,                 1.2512,                0.36579,                0.62132,                0.39674,                0.23544,                 1.4009,                  1.769,                 1.8504,             0.00075713,             0.00075713,             0.00075713
                     48,                0.90896,                 1.2185,                 1.2656,                0.33293,                0.62179,                0.41196,                0.25022,                 1.2921,                 1.8485,                 1.8086,             0.00075548,             0.00075548,             0.00075548
                     49,                0.91984,                 1.2137,                  1.248,                0.38982,                0.66815,                0.48606,                0.26274,                 1.4157,                 1.7105,                 1.9599,             0.00075383,             0.00075383,             0.00075383
                     50,                0.84272,                 1.1625,                  1.192,                0.37033,                0.65728,                0.43467,                0.25258,                 1.3672,                 1.8365,                 1.9293,             0.00075218,             0.00075218,             0.00075218
                     51,                0.88394,                 1.2329,                 1.2632,                0.33067,                0.63638,                  0.392,                0.24082,                   1.32,                 1.8523,                 1.8626,             0.00075053,             0.00075053,             0.00075053
                     52,                0.86694,                 1.1804,                 1.2203,                0.33497,                0.64366,                0.46379,                0.25353,                 1.2946,                 1.8855,                  1.929,             0.00074888,             0.00074888,             0.00074888
                     53,                0.87204,                 1.1791,                 1.2408,                0.34735,                0.60826,                0.44031,                0.27866,                 1.2259,                 1.7368,                 1.7832,             0.00074723,             0.00074723,             0.00074723
                     54,                0.88074,                 1.1731,                 1.2542,                0.32143,                0.60343,                0.41209,                0.25971,                 1.2673,                 1.9359,                 1.7929,             0.00074558,             0.00074558,             0.00074558
                     55,                0.86766,                 1.1148,                 1.1947,                 0.3912,                 0.6779,                0.50015,                0.28409,                 1.3127,                 1.6954,                 1.8984,             0.00074394,             0.00074394,             0.00074394
                     56,                0.84816,                 1.1269,                 1.2168,                 0.3552,                0.65407,                0.46316,                0.26719,                 1.4771,                 1.7227,                  1.934,             0.00074229,             0.00074229,             0.00074229
                     57,                0.88233,                 1.1669,                 1.2548,                0.38155,                 0.6713,                0.47648,                0.27398,                 1.4632,                 1.7707,                 1.9507,             0.00074064,             0.00074064,             0.00074064
                     58,                0.88478,                 1.1991,                 1.2303,                0.35673,                0.65994,                0.44304,                0.25929,                 1.3647,                 1.8573,                 1.8716,             0.00073899,             0.00073899,             0.00073899
                     59,                0.84111,                 1.1149,                 1.2041,                0.38297,                0.72176,                0.52197,                0.30725,                 1.3261,                 1.6219,                 1.7933,             0.00073734,             0.00073734,             0.00073734
                     60,                 0.8366,                 1.1614,                 1.2061,                0.32872,                0.77264,                0.50598,                0.28723,                 1.3617,                 1.6069,                 1.8442,             0.00073569,             0.00073569,             0.00073569
                     61,                 0.8207,                  1.109,                 1.1879,                 0.3243,                0.71411,                0.43892,                0.24797,                 1.4532,                 1.8524,                 1.8984,             0.00073404,             0.00073404,             0.00073404
