                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 0.8364,                 1.5079,                 1.4648,                0.19838,                0.13817,                0.09615,                0.06502,                 2.6456,                 5.0927,                  3.498,             0.00075218,             0.00075218,             0.00075218
                     51,                0.79416,                 1.4688,                 1.4038,                0.19012,                0.18859,                0.08442,                  0.055,                 2.6871,                 5.1169,                 3.5302,             0.00075053,             0.00075053,             0.00075053
                     52,                0.81381,                 1.5083,                   1.43,                0.17331,                0.15386,                0.09021,                0.06704,                 2.5733,                 5.0674,                 3.4415,             0.00074888,             0.00074888,             0.00074888
                     53,                0.81308,                 1.4841,                 1.4292,                0.22301,                0.18288,                0.08849,                0.06053,                 2.6855,                  5.208,                 3.5478,             0.00074723,             0.00074723,             0.00074723
                     54,                0.74705,                 1.4282,                 1.3848,                0.20277,                0.16609,                0.10711,                0.07161,                 2.6979,                   5.25,                 3.5184,             0.00074558,             0.00074558,             0.00074558
                     55,                0.79218,                 1.4586,                 1.3909,                0.19981,                0.18308,                 0.0967,                0.07223,                 2.6616,                 5.1961,                 3.4886,             0.00074394,             0.00074394,             0.00074394
                     56,                0.75582,                 1.4307,                  1.406,                0.19703,                0.19352,                 0.0921,                0.06347,                 2.6753,                 5.1613,                 3.4952,             0.00074229,             0.00074229,             0.00074229
                     57,                  0.739,                 1.3337,                 1.3652,                0.15891,                0.17358,                0.10822,                0.07774,                 2.5614,                 5.2604,                  3.454,             0.00074064,             0.00074064,             0.00074064
                     58,                0.72756,                 1.3821,                 1.3752,                0.20319,                0.21792,                0.11372,                0.07735,                 2.5101,                 5.0213,                 3.3463,             0.00073899,             0.00073899,             0.00073899
                     59,                0.77173,                 1.3602,                 1.3691,                0.25361,                0.20011,                0.13282,                0.09789,                 2.5187,                 5.0356,                 3.3967,             0.00073734,             0.00073734,             0.00073734
                     60,                0.78414,                 1.3527,                 1.3868,                0.23446,                0.16694,                0.12576,                0.08691,                  2.533,                 5.2254,                  3.449,             0.00073569,             0.00073569,             0.00073569
                     61,                0.76738,                 1.3547,                 1.3619,                0.02636,                0.16832,                0.04731,                0.02745,                 2.7127,                 5.6095,                 3.6424,             0.00073404,             0.00073404,             0.00073404
                     62,                0.72852,                 1.3064,                 1.3604,                 0.2007,                0.17903,                0.11722,                0.08319,                 2.5496,                 5.1939,                 3.4074,             0.00073239,             0.00073239,             0.00073239
                     63,                0.76606,                 1.3605,                 1.3529,                0.16602,                0.10651,                 0.0958,                 0.0751,                  2.522,                 5.4193,                 3.5131,             0.00073074,             0.00073074,             0.00073074
                     64,                0.76162,                 1.3153,                 1.3659,                0.23381,                0.15869,                0.12381,                0.08507,                 2.5608,                 5.3194,                  3.554,             0.00072909,             0.00072909,             0.00072909
                     65,                0.74251,                 1.3184,                 1.3541,                0.22095,                0.19644,                0.10707,                0.07527,                 2.5448,                 5.3788,                 3.5165,             0.00072744,             0.00072744,             0.00072744
                     66,                0.71884,                 1.2466,                 1.3254,                0.14258,                0.13274,                 0.0838,                0.06143,                 2.4762,                 5.4178,                 3.4708,             0.00072579,             0.00072579,             0.00072579
                     67,                0.75616,                  1.238,                 1.3399,                0.18129,                0.14631,                0.08337,                0.05887,                 2.5375,                 5.2937,                  3.461,             0.00072414,             0.00072414,             0.00072414
                     68,                0.70724,                 1.2161,                  1.316,                0.17689,                0.16561,                  0.089,                0.06552,                  2.522,                  5.308,                 3.4476,             0.00072249,             0.00072249,             0.00072249
                     69,                0.73697,                  1.258,                 1.3472,                0.21462,                0.17556,                0.11051,                0.08124,                 2.6099,                 5.4042,                 3.5179,             0.00072084,             0.00072084,             0.00072084
                     70,                 0.7123,                 1.2201,                 1.3154,                0.18238,                0.16667,                 0.0965,                0.06592,                 2.6239,                 5.4172,                 3.5255,              0.0007192,              0.0007192,              0.0007192
