                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.84049,                 1.5277,                 1.5068,                0.45233,                0.69161,                 0.6858,                0.60418,                0.57907,                 1.3151,                  1.421,             0.00075218,             0.00075218,             0.00075218
                     51,                 0.8268,                  1.535,                 1.4981,                0.29248,                0.78479,                0.61711,                0.54501,                0.58468,                 1.3648,                 1.4325,             0.00075053,             0.00075053,             0.00075053
                     52,                0.78646,                 1.5273,                 1.4624,                0.27224,                0.86488,                0.55815,                0.50133,                0.57075,                 1.4165,                 1.3773,             0.00074888,             0.00074888,             0.00074888
                     53,                 0.8139,                 1.5259,                 1.4708,                0.53526,                0.79697,                0.65612,                0.57935,                0.53397,                 1.3639,                 1.3349,             0.00074723,             0.00074723,             0.00074723
                     54,                0.79775,                 1.5143,                 1.4776,                0.60283,                0.72895,                0.80775,                0.70006,                0.54614,                 1.2904,                 1.3179,             0.00074558,             0.00074558,             0.00074558
                     55,                0.79305,                 1.4415,                 1.4387,                0.55521,                0.76535,                0.68641,                0.61062,                0.56617,                 1.3688,                 1.3833,             0.00074394,             0.00074394,             0.00074394
                     56,                0.77844,                 1.4503,                 1.4547,                0.41407,                0.72733,                0.60682,                0.53594,                 0.5356,                 1.3603,                 1.3586,             0.00074229,             0.00074229,             0.00074229
                     57,                  0.787,                 1.4564,                 1.4474,                0.31765,                0.72348,                0.48566,                0.41879,                0.56749,                 1.4931,                 1.3894,             0.00074064,             0.00074064,             0.00074064
                     58,                0.78464,                 1.4402,                 1.4355,                 0.2656,                0.90617,                0.51569,                0.45483,                0.50813,                 1.4271,                 1.3413,             0.00073899,             0.00073899,             0.00073899
                     59,                 0.7871,                 1.4085,                 1.4232,                0.24025,                 0.8458,                0.59236,                0.52416,                0.52198,                 1.3714,                 1.3536,             0.00073734,             0.00073734,             0.00073734
                     60,                0.77027,                 1.4645,                 1.4163,                0.36643,                0.88107,                0.60162,                0.52566,                0.54445,                 1.4166,                 1.3679,             0.00073569,             0.00073569,             0.00073569
                     61,                0.81864,                 1.3977,                 1.4487,                0.42127,                0.80306,                0.69454,                0.62359,                0.49166,                 1.2518,                 1.3048,             0.00073404,             0.00073404,             0.00073404
                     62,                0.74747,                  1.368,                  1.416,                0.41102,                0.67253,                0.58282,                0.50643,                0.51158,                 1.6484,                 1.3061,             0.00073239,             0.00073239,             0.00073239
                     63,                0.75773,                 1.3946,                 1.4087,                 0.4296,                0.82786,                0.72326,                0.63848,                0.50535,                 1.3388,                 1.2765,             0.00073074,             0.00073074,             0.00073074
                     64,                0.78017,                 1.3571,                 1.4151,                0.54214,                0.52509,                0.68998,                0.59838,                0.56783,                 1.3322,                 1.3864,             0.00072909,             0.00072909,             0.00072909
                     65,                0.79491,                 1.3891,                 1.4181,                0.70215,                0.48679,                0.61504,                0.53183,                0.54284,                 1.3371,                 1.3224,             0.00072744,             0.00072744,             0.00072744
                     66,                0.81766,                 1.4144,                 1.4358,                0.60911,                  0.593,                 0.6111,                0.53364,                0.51578,                 1.4157,                 1.2931,             0.00072579,             0.00072579,             0.00072579
                     67,                0.78027,                 1.3692,                 1.4053,                0.41682,                0.72351,                0.62115,                0.53713,                0.52904,                 1.4309,                 1.3127,             0.00072414,             0.00072414,             0.00072414
                     68,                0.78136,                 1.3722,                 1.4092,                0.41686,                0.85981,                0.77146,                0.69688,                  0.495,                 1.1639,                 1.2785,             0.00072249,             0.00072249,             0.00072249
                     69,                0.76012,                 1.3793,                 1.3916,                0.44094,                0.80478,                0.80828,                0.72853,                0.46611,                  1.142,                 1.2281,             0.00072084,             0.00072084,             0.00072084
                     70,                0.78113,                 1.4029,                 1.4278,                 0.3642,                0.80949,                0.70248,                0.63411,                0.47175,                  1.252,                 1.2299,              0.0007192,              0.0007192,              0.0007192
                     71,                0.70107,                 1.2676,                 1.3389,                 0.3648,                0.83289,                0.70905,                0.63322,                0.50379,                 1.2209,                 1.2679,             0.00071755,             0.00071755,             0.00071755
